Name,Popularity,Followers,Genres,Average_top_song_length_in_min,Spotify_ID,Spotify_URL
Unload,42,5388,"['hardstyle', 'hardcore', 'frenchcore']",2.59,1Y19qzpsF8wvNVz4uvg6Pm,https://open.spotify.com/artist/1Y19qzpsF8wvNVz4uvg6Pm
Uncle Waffles,58,1294225,"['amapiano', 'afropiano', 'gqom', 'bacardi', 'afrobeats', '3 step']",5.68,68McnNC9twEtiynOAJRRgZ,https://open.spotify.com/artist/68McnNC9twEtiynOAJRRgZ
UdieNnx,73,89707,"['phonk', 'brazilian phonk']",1.7,6ESoeEazu57neU7UM6KRuC,https://open.spotify.com/artist/6ESoeEazu57neU7UM6KRuC
UB40,72,2615202,['reggae'],3.79,69MEO1AADKg1IZrq2XLzo5,https://open.spotify.com/artist/69MEO1AADKg1IZrq2XLzo5
Miguel,81,6063065,['r&b'],3.66,360IAlyVv4PCEVjgyMZrxK,https://open.spotify.com/artist/360IAlyVv4PCEVjgyMZrxK
$uicideboy$,88,8860620,"['emo rap', 'horrorcore', 'cloud rap', 'trap metal', 'underground hip hop']",2.93,1VPmR4DJC1PlOtd0IADAO0,https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0
Udit Narayan,84,21005171,"['bollywood', 'hindi pop', 'desi']",5.62,70B80Lwx2sxti0M1Ng9e8K,https://open.spotify.com/artist/70B80Lwx2sxti0M1Ng9e8K
Marvin Gaye,76,5930037,"['motown', 'classic soul', 'soul', 'northern soul', 'quiet storm']",4.11,3koiLjNrgRTNbOwViDipeA,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA
Mark Ronson,78,1279227,[],3.8,3hv9jJF3adDNsBSIQDqcjp,https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp
Maluma,88,38212021,"['reggaeton', 'latin', 'urbano latino']",3.52,1r4hJ1h58CWwUQe3MxPuau,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau
Wolfgang Amadeus Mozart,78,5860225,"['classical', 'requiem', 'opera', 'classical piano', 'chamber music']",4.61,4NJhFmfw43RLBLjQvxDuRS,https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS
Viagra Boys,63,424714,"['post-punk', 'egg punk']",3.23,2nAKP6etu8wXNnezKXgqgg,https://open.spotify.com/artist/2nAKP6etu8wXNnezKXgqgg
Volbeat,73,2729044,"['rock', 'metal']",4.32,0L5fC7Ogm2YwgqVCRcF1bT,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT
Vampire Weekend,66,2032767,"['indie', 'baroque pop']",3.42,5BvJzeQpmsdsFp4HGUYUEx,https://open.spotify.com/artist/5BvJzeQpmsdsFp4HGUYUEx
